a,b,c,d,e,f
춘천 효자3동점,033-253-2271,강원도,춘천시,효자3동 756-6,강원도 춘천시 효자3동 756-6
원주 단계점,033-766-8861,강원도,원주시,명륜1동 308-25,강원도 원주시 명륜1동 308-25
강릉 옥천점,033-647-6420,강원도,강릉시,옥천동 157-6 1층,강원도 강릉시 옥천동 157-6 1층
강릉 포남점,033-651-8966,강원도,강릉시,포남동 1190-2,강원도 강릉시 포남동 1190-2
동해 발한점,033-532-5274,강원도,동해시,발한동 17-5 점포1층,강원도 동해시 발한동 17-5 점포1층
동해 천곡점,033-535-2747,강원도,동해시,천곡동 1029-2 1층,강원도 동해시 천곡동 1029-2 1층
속초 조양점(취),033-636-6898,강원도,속초시,조양동 1497-6,강원도 속초시 조양동 1497-6
삼척 도계점,033-541-3254,강원도,삼척시,도계읍 도계로 215 (구조소:전두리 81-28),강원도 삼척시 도계읍 도계로 215 
강원 대화점(취),033-333-2753,강원도,평창군,대화면 대화9리 1001-130,강원도 평창군 대화면 대화9리 1001-130
강원 영월점,033-374-0422,강원도,영월군,영월읍 영흥5리 979-6,강원도 영월군 영월읍 영흥5리 979-6
강원 정선점,033-563-0160,강원도,정선군,정선읍 봉양리 344-4,강원도 정선군 정선읍 봉양리 344-4
강원 진부점,033-335-9752,강원도,평창군,진부면 하진부리 206-72,강원도 평창군 진부면 하진부리 206-72
강원 홍천점,033-434-2406,강원도,홍천군,홍천읍 신장대리 9-6,강원도 홍천군 홍천읍 신장대리 9-6
원주 명륜점,033-763-7720,강원도,원주시,명륜동 277-10번지,강원도 원주시 명륜동 277-10번지
원주 중앙점,033-732-3999,강원도,원주시,중앙동 56-4,강원도 원주시 중앙동 56-4
춘천 운교점,033-255-0750,강원도,춘천시,운교동 179,강원도 춘천시 운교동 179
춘천 퇴계점,033-255-0493,강원도,춘천시,퇴계동 383-2 롯데슈퍼옆,강원도 춘천시 퇴계동 383-2 롯데슈퍼옆
춘천 신사우점,033-242-3617,강원도,춘천시,우두동 693-6번지,강원도 춘천시 우두동 693-6번지
태백 장성점(취),033-581-2001,강원도,태백시,장성동 160-18,강원도 태백시 장성동 160-18
태백 황지점,033-552-9957,강원도,태백시,황지동 38-193(자유시장內),강원도 태백시 황지동 38-193
강원삼척(직),033-572-2543,강원도 ,삼척시,당저동 33-3번지 홈플러스 1층 홈앤이브,강원도  삼척시 당저동 33-3번지 홈플러스 1층 홈앤이브
코디센 진접점,031-571-6272,경기도,남양주시,진접읍 장현리 207-8,경기도 남양주시 진접읍 장현리 207-8
(신)이천 창전1점,031-635-2783,경기도,이천시,창전동 156-4번지,경기도 이천시 창전동 156-4번지
이천 창전2점,031-637-2783,경기도,이천시,창전동 149-8번지,경기도 이천시 창전동 149-8번지
코디센 역곡점,032-343-2229,경기도,부천시,소사구 괴안동 109,경기도 부천시 소사구 괴안동 109
코디센 권선점,031-231-1213,경기도,수원시,권선구 권선동 990-4 혼수명품관 1층,경기도 수원시 권선구 권선동 990-4 혼수명품관 1층
군포 산본중앙점,031-396-5433,경기도,군포시,산본동 236-7,경기도 군포시 산본동 236-7
기흥 신갈점,031-281-8778,경기도,용인시,기흥구 신갈동 61-5,경기도 용인시 기흥구 신갈동 61-5
코디센 평내점,031-592-2588,경기도,남양주시,평내동 203-2 혜림빌딩 1층,경기도 남양주시 평내동 203-2 혜림빌딩 1층
부천 부천역점,032-663-9275,경기도,부천시 ,소사구 심곡본동 560번지 심곡파라곤 1층,경기도 부천시  소사구 심곡본동 560번지 심곡파라곤 1층
광주 곤지암점,031-797-5950,경기도,광주시,초월읍 쌍동리 175,경기도 광주시 초월읍 쌍동리 175
(신)하남,031-795-2979,경기도,하남시,덕풍동 309-63,경기도 하남시 덕풍동 309-63
광주 역동점,031-798-5283,경기도,광주시,역동 27-63,경기도 광주시 역동 27-63
성남 수진점,031-756-7323,경기도,성남시,수정구 수진1동 53번지 1층,경기도 성남시 수정구 수진1동 53번지 1층
성남 야탑점,031-703-5155,경기도,성남시,분당구 야탑동 382-3호,경기도 성남시 분당구 야탑동 382-3호
성남 중동점,031-743-3004,경기도,성남시,중원구 중동 149,경기도 성남시 중원구 중동 149
하남 베스코아점,031-795-8321,경기도,하남시,신장동 523-1 현대베스코아 1층,경기도 하남시 신장동 523-1 현대베스코아 1층
고양 고양점,031-964-1502,경기도,고양시,덕양구 고양동 197번지 삼성단지 내 상가 101호,경기도 고양시 덕양구 고양동 197번지 삼성단지 내 상가 101호
고양 주교점,031-965-0958,경기도,고양시,덕양구 주교동 609-3 코스모프라자 106-107호,경기도 고양시 덕양구 주교동 609-3 코스모프라자 106-107호
고양 행신점,031-970-4007,경기도,고양시,덕양구 행신동 726-5,경기도 고양시 덕양구 행신동 726-5
고양 화정점,031-811-7973,경기도,고양시,"덕양구 화정동 984 서일빌딩 1층 108,109호","경기도 고양시 덕양구 화정동 984 서일빌딩 1층 108,109호"
김포 북변점,031-985-8306,경기도,김포시,북변동 341-2,경기도 김포시 북변동 341-2
김포 통진점,031-989-0999,경기도,김포시,통진읍 도사리 657-3,경기도 김포시 통진읍 도사리 657-3
김포 한강신도시점(취),031-986-2942,경기도,김포시,장기동 1444번지 명가침구,경기도 김포시 장기동 1444번지 명가침구
일산 백석점,031-811-2201,경기도,고양시,일산동구 백석동 1288-2 남정 골드프라자 114호,경기도 고양시 일산동구 백석동 1288-2 남정 골드프라자 114호
일산 일산2동점,031-975-3737,경기도,고양시,일산구 일산2동 646-1,경기도 고양시 일산구 일산2동 646-1
일산 주엽점,031-919-7449,경기도,고양시,일산구 주엽동 83 강선마을12단지상가제에스 2호,경기도 고양시 일산구 주엽동 83 강선마을12단지상가제에스 2호
일산 탄현점,031-919-5888,경기도,고양시,일산서구 덕이동 303-9,경기도 고양시 일산서구 덕이동 303-9
파주 운정점,,경기도,파주시,"가람로 2번지. 센타프라자 108, 109호","경기도 파주시 가람로 2번지. 센타프라자 108, 109호"
파주 금촌점,031-944-2393,경기도,파주시,와동동 금촌동 767-6,경기도 파주시 와동동 금촌동 767-6
경기 전곡점,031-832-5533,경기도,연천군,전곡읍 전곡리 480-19,경기도 연천군 전곡읍 전곡리 480-19
동두천 생연2동점,031-865-3911,경기도,동두천,생연동 823-179,경기도 동두천 생연동 823-179
양주 고읍점,031-876-8824,경기도,양주,광사동 377-5,경기도 양주 광사동 377-5
양주 회정점,031-861-2989,경기도,양주,회정동 189-15 외 2 필지양주빌딩 B-1층,경기도 양주 회정동 189-15 외 2 필지양주빌딩 B-1층
의정부 가능1동점,031-875-8530,경기도,의정부,가능1동 616,경기도 의정부 가능1동 616
의정부 금오점,031-840-5656,경기도,의정부,금오동 446-21(2층),경기도 의정부 금오동 446-21(2층)
의정부 의정부1동점(취),031-846-5480,경기도,의정부,의정부1동 제일시장 44호,경기도 의정부 의정부1동 제일시장 44호
동두천 지행점,031-867-3031,경기도,동두천,지행동 691-5 영스포렉스 1층,경기도 동두천 지행동 691-5 영스포렉스 1층
의정부 의정부3동점,031-871-6885,경기도,의정부,98-16 동유빌딩 102호,경기도 의정부 98-16 동유빌딩 102호
의정부호원점,031-875-3038,경기도,의정부시,호원동 448-1번지 신도1차 아파트상가 116~119호,경기도 의정부시 호원동 448-1번지 신도1차 아파트상가 116~119호
포천 무봉리점,031-543-7744,경기도,포천,소흘읍 이동교리 389-1,경기도 포천 소흘읍 이동교리 389-1
광명 광명4점,02-2060-0082,경기도,광명시,광명동 158-305호,경기도 광명시 광명동 158-305호
시흥 대야점,031-315-3322,경기도,시흥시,대야동 455-1호,경기도 시흥시 대야동 455-1호
시흥 은행점,031-314-6754,경기도,시흥시,대야동 577-1 크리스탈 빌딩 101호~104호 ,경기도 시흥시 대야동 577-1 크리스탈 빌딩 101호~104호 
시흥 장곡점(취),031-318-4977,경기도,시흥시,장곡동 814-5 ,경기도 시흥시 장곡동 814-5 
시흥 정왕점,031-434-5939,경기도,시흥시,정왕동 1802-2 1층 ,경기도 시흥시 정왕동 1802-2 1층 
안산 고잔점,031-416-2942,경기도,안산시,단원구 고잔동 726-7,경기도 안산시 단원구 고잔동 726-7
안산 본오점,031-502-0900,경기도,안산시,"상록구 석호로 304 (본오동, 1층전체)","경기도 안산시 상록구 석호로 304 (본오동, 1층전체)"
안산 선부점,031-487-9411,경기도,안산시,단원구 선부동 1028 -1 일신건영휴먼빌상가 109,경기도 안산시 단원구 선부동 1028 -1 일신건영휴먼빌상가 109
안산 원곡2동점,031-486-5150,경기도,안산시,"단원구 원곡2동 846-3 D동1층 오픈32,36,56호","경기도 안산시 단원구 원곡2동 846-3 D동1층 오픈32,36,56호"
안산 월피다농점,031-482-4376,경기도,안산시,상록구 월피동 445-1번지 다농마트 2층,경기도 안산시 상록구 월피동 445-1번지 다농마트 2층
화성 동탄점,031-613-8862,경기도,화성시,동탄면 반송동 107-7 아시아프라자 상가 103.104호,경기도 화성시 동탄면 반송동 107-7 아시아프라자 상가 103.104호
화성 발안점,031-352-4646,경기도,화성시,향남면 행정리 426-1,경기도 화성시 향남면 행정리 426-1
화성 병점점,031-238-1195,경기도,화성시,진안동 876-2,경기도 화성시 진안동 876-2
화성 봉담점(취),031-227-1144,경기도,화성시,봉담읍 상리 27-15,경기도 화성시 봉담읍 상리 27-15
화성 와우리점,031-222-9801,경기도,화성시,봉담읍 동화리 140-2,경기도 화성시 봉담읍 동화리 140-2
화성 조암점(취),031-351-1278,경기도,화성시,우정읍 조암리 270-43,경기도 화성시 우정읍 조암리 270-43
군포 당동점,031-453-6202,경기도,군포시,당동 776-13번지,경기도 군포시 당동 776-13번지
수원 남문쌍용점,031-256-8496,경기도,수원시,팔달구 영동 영동시장 라동 227호,경기도 수원시 팔달구 영동 영동시장 라동 227호
수원 신영통점,031-205-3579,경기도,수원시,영통구 망포동 569-3 유림프라자 1층,경기도 수원시 영통구 망포동 569-3 유림프라자 1층
수원 영통점,031-203-4448,경기도,수원시,"영통구 영통동 996-4 보보스프라자 105호,106호","경기도 수원시 영통구 영통동 996-4 보보스프라자 105호,106호"
수원 정자2동점,031-243-5235,경기도,수원시,장안구 정자2동 16-2 롯데쇼핑1층 108호,경기도 수원시 장안구 정자2동 16-2 롯데쇼핑1층 108호
수원 율전점,031-297-0069,경기도,수원시,장안구 율전동 292-7 우신빌딩 101호,경기도 수원시 장안구 율전동 292-7 우신빌딩 101호
수원 연무점,031-244-8552,경기도,수원시,장안구 연무동 234-8,경기도 수원시 장안구 연무동 234-8
수원 중동점(취),031-243-3477,경기도,수원시,팔달구 중동 112,경기도 수원시 팔달구 중동 112
수원 화서점,031-244-4362,경기도,수원시,팔달구 화서동 113-26,경기도 수원시 팔달구 화서동 113-26
안양 관양점,031-388-8821,경기도,안양시,동안구 관양동 1446-1 인덕빌딩,경기도 안양시 동안구 관양동 1446-1 인덕빌딩
안양 안양점,031-464-2990,경기도,안양시,만안구 안양동 837-21 진성빌딩1층,경기도 안양시 만안구 안양동 837-21 진성빌딩1층
안양 중앙시장점,031-449-6769,경기도,안양시,만안구 안양4동 중앙시장 676-224 ,경기도 안양시 만안구 안양4동 중앙시장 676-224 
안양 호계2점,031-477-4323,경기도,안양시,동안구 호계2동 986-18 윤성빌딩 1층 102호 103호,경기도 안양시 동안구 호계2동 986-18 윤성빌딩 1층 102호 103호
오산 오산점,031-373-1323,경기도,오산시,오산동 865-1 대동다숲상가 1층 (롯데마트 옆),경기도 오산시 오산동 865-1 대동다숲상가 1층 (롯데마트 옆)
의왕 내손점(취),031-422-5566,경기도,의왕시,내손2동 684-11 1층상가 2호,경기도 의왕시 내손2동 684-11 1층상가 2호
경기 여주점,031-885-9212,경기도,여주군,여주읍 하리 252-8,경기도 여주군 여주읍 하리 252-8
기흥 마북점,031-284-7949,경기도,용인시,기흥구 마북동 370-5,경기도 용인시 기흥구 마북동 370-5
기흥 중동점,031-281-0044,경기도,용인시,기흥구 중동 829번지 골드프라자 A동 108,경기도 용인시 기흥구 중동 829번지 골드프라자 A동 108
수지 동천동점,031-266-2333,경기도,용인시,수지구 동천동117-28  남서울비전교육관 1층,경기도 용인시 수지구 동천동117-28  남서울비전교육관 1층
수지 죽전점,031-276-7943,경기도,용인시,수지구 죽전동 305-2 외 1필지죽전프라자 103,경기도 용인시 수지구 죽전동 305-2 외 1필지죽전프라자 103
용인 중앙점,031-321-5862,경기도,용인시,처인구 김량장동 334-2 거성빌딩 1층,경기도 용인시 처인구 김량장동 334-2 거성빌딩 1층
평택 안중점,031-682-2247,경기도,평택시,안중읍 안중리 274-10 바이오빌딩 1층,경기도 평택시 안중읍 안중리 274-10 바이오빌딩 1층
평택 이충점,031-665-2989,경기도,평택시,이충동 463-48 1층,경기도 평택시 이충동 463-48 1층
평택 지산점,031-662-0147,경기도,평택시,지산동 857-3,경기도 평택시 지산동 857-3
평택 지제점,031-618-9360,경기도,평택시,지제동 613-3,경기도 평택시 지제동 613-3
평택 통복점,031-656-6870,경기도,평택시,평택동 68-15,경기도 평택시 평택동 68-15
부천 심곡본점(취),032-651-5263,경기도,부천시,소사구 심곡본동 545 부천자유시장내,경기도 부천시 소사구 심곡본동 545 부천자유시장내
부천 상동점,032-323-3413,경기도,부천시,원미구 상동 541-1 메가프러스 1층 25,경기도 부천시 원미구 상동 541-1 메가프러스 1층 25
부천 소사본동점,032-347-0181,경기도,부천시,소사구 소사본동 160-9,경기도 부천시 소사구 소사본동 160-9
부천 심곡1동점,032-656-2174,경기도,부천시,원미구 심곡1동 35,경기도 부천시 원미구 심곡1동 35
코디센 소명사거리점,032-612-9218,경기도,부천시,원미구 심곡동 129-6,경기도 부천시 원미구 심곡동 129-6
부천 원종점,032-671-4220,경기도,부천시,오정구 원종동 373-10 대은빌딩 1층,경기도 부천시 오정구 원종동 373-10 대은빌딩 1층
부천 중4동점,032-324-6600,경기도,부천시,원미구 중4동 1033-3번지 굿모닝 프라자 113호,경기도 부천시 원미구 중4동 1033-3번지 굿모닝 프라자 113호
구리 교문점,031-557-9810,경기도,구리시,교문1동 193-90,경기도 구리시 교문1동 193-90
(신)구리 인창점,031-556-9225,경기도,구리시,인창동 408-12 화성빌딩 1층 (신주소:동구릉로 124),경기도 구리시 인창동 408-12 화성빌딩 1층 (신주소:동구릉로 124)
남양주 오남점,031-574-1631,경기도,남양주시,오남읍 오남리 264-5,경기도 남양주시 오남읍 오남리 264-5
김포풍무점(사),031-986-6606,경기도,김포시,풍무동 38-1번지 홈플러스 풍무점 1층 이브자리,경기도 김포시 풍무동 38-1번지 홈플러스 풍무점 1층 이브자리
경기김포점(사),031-981-3621,경기도,김포시,중봉로14 홈플러스 김포점1층 이브자리,경기도 김포시 중봉로14 홈플러스 김포점1층 이브자리
북수원점(사),031-241-9870,경기도,수원시,장안구 조원동 896 북수원 홈플러스 2층 홈앤이브,경기도 수원시 장안구 조원동 896 북수원 홈플러스 2층 홈앤이브
서수원(홈)(사),031-292-8812,경기도,수원시,권선구 금곡동 서수원 160 홈플러스 2층 홈앤이브,경기도 수원시 권선구 금곡동 서수원 160 홈플러스 2층 홈앤이브
거제 장평점,055-633-7729,경남,거제시,신협읍 장평리 58-9,경남 거제시 신협읍 장평리 58-9
경남 고성점,055-674-7131,경남,고성군,고성읍 동외리 271-3,경남 고성군 고성읍 동외리 271-3
김해 구산점,055-333-9091,경남,김해시,구산동 1050-2번지 다이아몬드B/D 108호,경남 김해시 구산동 1050-2번지 다이아몬드B/D 108호
김해 서상점,055-332-8950,경남,김해시,서상동 333-1,경남 김해시 서상동 333-1
진주 대안점 ,055-741-4115,경남,진주시,대안동 10-3,경남 진주시 대안동 10-3
진주 중앙시장점,055-743-4500,경남,진주시,대안동 8-361 중앙시장 2구 35호,경남 진주시 대안동 8-361 중앙시장 2구 35호
진주 초전점,055-754-2982,경남,진주시,초전동 1071-2,경남 진주시 초전동 1071-2
통영 죽림점,055-646-3888,경남,통영시,광도면 죽림리 1570,경남 통영시 광도면 죽림리 1570
경남 삼천포점,055-833-2220,경남,사천시,선구동 중앙로 37-1(선구동),경남 사천시 선구동 중앙로 37-1(선구동)
김해 진영점,055-343-7003,경남,김해시,진영읍 여래로 22,경남 김해시 진영읍 여래로 22
경남 거창점,055-945-2988,경남,거창군,거창읍 대동리 832-1,경남 거창군 거창읍 대동리 832-1
경남 함양점,055-963-2856,경남,함양군,함양읍 용평리 612-8 (고운로66),경남 함양군 함양읍 용평리 612-8 (고운로66)
마산 석전점,055-292-9766,경남,창원시,마산회원구 석전2동 225-12,경남 창원시 마산회원구 석전2동 225-12
마산 신포점,055-241-2536,경남,창원시,마산합포구 동서동 2길 47,경남 창원시 마산합포구 동서동 2길 47
진해 여좌점,055-542-7607,경남,진해시,창원시 진해구 여좌동 801-2,경남 진해시 창원시 진해구 여좌동 801-2
창원 상남점,055-262-7365,경남,창원시,상남동 45-1번지 성원주상가 2층 102호,경남 창원시 상남동 45-1번지 성원주상가 2층 102호
창원 대방점,055-285-4418,경남,창원시,성산구 대방동 332-5,경남 창원시 성산구 대방동 332-5
하동점,055-884-7533,경남,하동군,하동읍 읍내리 319-15,경남 하동군 하동읍 읍내리 319-15
(신)양산 중부점,055-387-0070,경남,양산시,중부동 432-13 (신주소:서일동로 33-1),경남 양산시 중부동 432-13 (신주소:서일동로 33-1)
창원 중앙점,055-261-4300,경남,창원시,"성산구 용지로 83 (중앙동,1층)","경남 창원시 성산구 용지로 83 (중앙동,1층)"
밀양 내일동점,055-356-2896,경남,밀양시,내일동 388-5,경남 밀양시 내일동 388-5
경북 북면점(취),054-783-2812,경북,울진군,북면 부구리 174-6,경북 울진군 북면 부구리 174-6
경북 울진점(취),054-782-8500,경북,울진군,울진읍 읍내리 54-7,경북 울진군 울진읍 읍내리 54-7
구미 봉곡점,054-444-2358,경북,구미시,봉곡동 376-1,경북 구미시 봉곡동 376-1
구미 송정점,054-455-8861,경북,구미시,송정동 463-5번지,경북 구미시 송정동 463-5번지
구미 원평점,054-453-7791,경북,구미시,원평동 365-22번지,경북 구미시 원평동 365-22번지
안동 옥동점,054-859-4848,경북,안동시,옥동 784-6번지,경북 안동시 옥동 784-6번지
안동 옥야점,054-853-6905,경북,안동시,옥야동 산 238,경북 안동시 옥야동 산 238
포항 대이점,054-272-1406,경북,포항시,남구 이동 660-16,경북 포항시 남구 이동 660-16
포항 장성점,054-256-7068,경북,포항시,북구 장성동 1352-2,경북 포항시 북구 장성동 1352-2
포항 죽도점,054-248-6967,경북,포항시,북구 죽도1동 2-479,경북 포항시 북구 죽도1동 2-479
포항 학산점,054-246-2080,경북,포항시,북구 학산동 192-6,경북 포항시 북구 학산동 192-6
경북 상주점,054-534-2070,경북,상주시,서성동 132-1번지 1층,경북 상주시 서성동 132-1번지 1층
경북 영천점,054-334-4057,경북,영천시,완산동 988-15,경북 영천시 완산동 988-15
경북 예천점,054-654-3021,경북,예천군,예천읍 남본리 222-154,경북 예천군 예천읍 남본리 222-154
경산 중방점,053-813-2570,경북,경산시,경안로 211 (중방동),경북 경산시 경안로 211 (중방동)
경산 하양점,053-851-1660,경북,경산시,하양읍 금락리 35-21,경북 경산시 하양읍 금락리 35-21
경주 안강점,054-761-0824,경북,경주시,안강읍 양월4리 1358-26,경북 경주시 안강읍 양월4리 1358-26
경주 중앙점,054-774-8878,경북,경주시,노동동 172-6,경북 경주시 노동동 172-6
경주 황성점,054-771-7042,경북,경주시,황성동 521-66,경북 경주시 황성동 521-66
김천 평화점,054-435-8831,경북,김천시 ,평화동 김천로 65-1,경북 김천시  평화동 김천로 65-1
문경 점촌2점(취),054-552-1733,경북,문경시,점촌동 371-20,경북 문경시 점촌동 371-20
문경 점촌점,054-555-8056,경북,문경시,점촌동 중앙로 19번지,경북 문경시 점촌동 중앙로 19번지
영주 영주점,054-635-5106,경북,영주시,영주동 549,경북 영주시 영주동 549
영주 휴천점,054-633-6033,경북,영주시,휴천동 303-16,경북 영주시 휴천동 303-16
경북안동점(사),054-841-4705,경북,안동시,운흥동 247-58.안동홈플러스 2층 이브자리,경북 안동시 운흥동 247-58.안동홈플러스 2층 이브자리
광주 금호월드점,062-350-8622,광주,서구,화정동 12-17 금호월드 6층 611호,광주 서구 화정동 12-17 금호월드 6층 611호
광주 금호점,062-381-2240,광주,서구,금호동 753-6,광주 서구 금호동 753-6
광주 문흥점,062-265-7235,광주,북구,문흥동 999-3,광주 북구 문흥동 999-3
광주 삼각점,062-573-2849,광주,북구,삼각동 492-5,광주 북구 삼각동 492-5
광주 월산점,062-362-5313,광주,남구,월산동 187-13,광주 남구 월산동 187-13
광주 진월점,062-653-0098,광주,남구,진월동 262-4,광주 남구 진월동 262-4
광주 충장로점,062-223-3390,광주,동구,충장로5가 96-15번지,광주 동구 충장로5가 96-15번지
광주 쌍촌점,062-382-0058,광주,서구,쌍촌동 948-37,광주 서구 쌍촌동 948-37
광주 신가점,062-952-9485,광주,광산구,신가동 930-6,광주 광산구 신가동 930-6
광주 우산점,062-262-8086,광주,북구,우산동 208-10,광주 북구 우산동 208-10
광주 첨단쌍암점,062-972-0886,광주,광산구,쌍암동 669-4 1층,광주 광산구 쌍암동 669-4 1층
광주 양동점,062-369-3003,광주,서구,양동 5-60,광주 서구 양동 5-60
코디센 광주양산점,062-576-2849,광주,북구,양산동 하서로 402번지.,광주 북구 양산동 하서로 402번지.
광주 월곡점,062-951-1525,광주,광산구,월곡1동 689-2,광주 광산구 월곡1동 689-2
동광주점(사),062-266-7236,광주,북구,두암동 575-1번지 홈플러스 1층 홈앤이브,광주 북구 두암동 575-1번지 홈플러스 1층 홈앤이브
구미 진평점,054-471-2989,대구,구미시,진평동 64-3,대구 구미시 진평동 64-3
대구 대봉점,053-475-7799,대구,남구,이천동 193-19번지,대구 남구 이천동 193-19번지
대구 산격점,053-601-1128,대구,북구,산격동 1668 섬유제품관 1128/1127,대구 북구 산격동 1668 섬유제품관 1128/1127
대구 상인점,053-636-5777,대구,달서구 ,상인동 1396-2,대구 달서구  상인동 1396-2
대구 수성4동점,053-746-6333,대구,수성구,수성동 4가 1186-70번지,대구 수성구 수성동 4가 1186-70번지
대구 이곡점,053-584-2897,대구,달서구 ,이곡동 1000-193,대구 달서구  이곡동 1000-193
대구 율하점,053-963-4680,대구,동구,율하동 1290번지,대구 동구 율하동 1290번지
대구 진천점,053-636-5770,대구,달서구 ,진천동 653번지,대구 달서구  진천동 653번지
대구 감삼점,053-573-8886,대구,달서구 ,감삼동 65-4,대구 달서구  감삼동 65-4
대구 관음점,053-325-5333,대구,북구,관음동 1383-11,대구 북구 관음동 1383-11
대구 대신점,053-255-0519,대구,중구,대신동 115-377 (4지구 2층 10열),대구 중구 대신동 115-377 (4지구 2층 10열)
대구 신매점,053-794-7772,대구,수성구,"신매동 30-5  외 19필지효성백년가약상가1,2,3,4호","대구 수성구 신매동 30-5  외 19필지효성백년가약상가1,2,3,4호"
대구칠곡점(직),053-311-0616,대구,북구,동천동 968 홈플러스칠곡점 2층 홈앤이브,대구 북구 동천동 968 홈플러스칠곡점 2층 홈앤이브
대전 관저점,042-541-0122,대전,서구,관저동 610-1번지 대전관저가구단지내1호,대전 서구 관저동 610-1번지 대전관저가구단지내1호
대전 산성점,042-581-5024,대전,중구,산성동 145-25,대전 중구 산성동 145-25
대전 송강점,042-935-2945,대전,유성구,송강동 49-4 송강재래시장 가101,대전 유성구 송강동 49-4 송강재래시장 가101
대전 오류점,042-536-4152,대전,중구,오류동 175-10호,대전 중구 오류동 175-10호
대전 용전 코디센,042-638-2929,대전,동구,용전동 20-12,대전 동구 용전동 20-12
대전 원동장미점,042-257-0368,대전,동구,원동 65-1,대전 동구 원동 65-1
대전 유성장대점,042-825-0370,대전,유성구,장대동 275-15,대전 유성구 장대동 275-15
대전 전민점(취),042-861-7728,대전,유성구,전민동 엑스포코아 3층 38호,대전 유성구 전민동 엑스포코아 3층 38호
코디센 둔산점,042-484-7942,대전,서구,탄방동 705번지,대전 서구 탄방동 705번지
부산 온천2점,051-553-1656,부산,동래구,온천2동 1401-9,부산 동래구 온천2동 1401-9
